LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
University Park,264,18533,29,0.676,3,0,68647,15,20217,1.16714354652,0.00014839,0
Silver Lake,172,54339,28,0.676,1,0,68647,77,11266,2.74910600903,8.87626E-05,0
Valley Village,168,55470,146,0.512,1,0,68647,71,11600,2.08539977324,8.62069E-05,0
Cudahy,228,39048,260,0.117,1,0,68647,16,19697,1.22903553842,5.07692E-05,0
Leimert Park,211,45865,209,0.351,2,1,68647,98,9880,1.19252997439,0.000202429,0.000101215
Elysian Park,258,28263,91,0.582,0,0,68647,221,1538,1.64508429808,0,0
South Park,256,29518,213,0.345,0,0,68647,11,21638, 1.4093517611,0,0
West Whittier-Los Nietos,141,61504,224,0.307,1,1,68647,96,9899,2.61424776266,0.00010102,0.00010102
Arlington Heights,244,31421,81,0.6,0,0,68647,13,21423,1.03141523527,0,0
Lennox,233,37937,253,0.197,0,2,68647,12,21557,1.06461567706,0,9.27773E-05
Palms,191,50684,7,0.739,3,2,68647,9,21870,1.94535901621,0.000137174,9.14495E-05
Chesterfield Square,234,37737,138,0.52,0,0,68647,106,9571,.633386374403,0,0
Alhambra,178,53224,65,0.631,14,1,68647,76,11275,7.62381430605,0.001241685,8.86918E-05
Cypress Park,220,42615,220,0.311,0,0,68647,51,13478,.724461994547,0,0
West Los Angeles,52,86403,195,0.393,7,1,68647,65,12061,1.04957313159,0.000580383,8.29119E-05
Manchester Square,209,46093,212,0.346,0,0,68647,73,11449,1.01264126487,0,0
West Puente Valley,126,64809,214,0.334,1,1,68647,57,12855,1.85662447271,7.77907E-05,7.77907E-05
Larchmont,203,47780,11,0.708,0,0,68647,25,17747,.486332164533,0,0
Beverly Grove,133,63039,218,0.319,3,1,68647,55,12990,1.64868313332,0.000230947,7.69823E-05
Elysian Valley,196,49013,106,0.552,0,0,68647,108,9354,.789759467071,0,0
Lake Los Angeles,186,52146,54,0.639,0,0,68647,220,1601,6.95819809473,0,0
Northeast Antelope Valley,185,52234,109,0.548,0,0,68647,262,10,441.975641734,0,0
Westwood,101,68716,117,0.543,15,1,68647,54,13036, 3.6757772963,0.00115066,7.67106E-05
Avalon,179,53200,115,0.543,0,0,68647,227,1159,2.74469670567,0,0
Montecito Heights,167,55901,134,0.524,0,0,68647,140,6959,2.40964422507,0,0
Sawtelle,155,57710,38,0.659,5,1,68647,52,13319,2.69118094473,0.000375404,7.50807E-05
Unincorporated Catalina Island,163,56295,150,0.495,0,0,68647,265,2,72.5020030275,0,0
North El Monte,162,56577,25,0.678,0,0,68647,116,8677,.426770340697,0,0
Alondra Park,157,57177,2,0.748,0,0,68647,133,7548,1.13989423058,0,0
Mount Washington,154,57725,101,0.565,0,0,68647,141,6878,1.85040389289,0,0
Gramercy Park,153,57983,244,0.241,0,0,68647,115,8859,1.13403882337,0,0
Bell,225,40556,255,0.173,2,1,68647,44,14357,2.55402884183,0.000139305,6.96524E-05
Veterans Administration,146,60561,85,0.592,0,0,68647,240,683,.911282077501,0,0
Littlerock,145,60781,84,0.592,0,0,68647,239,766, 1.8128731011,0,0
Lopez/Kagel Canyons,143,61398,118,0.543,0,0,68647,247,195, 3.5744194134,0,0
East San Gabriel,130,64365,22,0.683,0,0,68647,90,10157,2.18274231728,0,0
West Adams,231,38209,119,0.541,1,1,68647,43,14686,1.48200819378,6.80921E-05,6.80921E-05
Broadway-Manchester,254,29897,148,0.502,1,1,68647,40,15060,1.55848582484,6.64011E-05,6.64011E-05
South San Jose Hills,123,65527,227,0.304,0,0,68647,49,13646,1.48445028227,0,0
Harvard Park,236,37013,128,0.533,0,1,68647,37,16072,.640666412177,0,6.222E-05
Vincent,118,66221,97,0.574,0,0,68647,89,10163,1.47902846141,0,0
Del Aire,115,66442,41,0.657,0,0,68647,111,9132,.989829123892,0,0
Citrus,113,66638,139,0.519,0,0,68647,68,11827,1.01155085149,0,0
Mayflower Village,109,67592,40,0.658,0,0,68647,105,9585,1.21537929985,0,0
Lake View Terrace,106,67985,58,0.636,0,0,68647,201,2790,4.23104663578,0,0
Val Verde,105,68073,77,0.602,0,0,68647,206,2588,.729575618561,0,0
Charter Oak,104,68092,39,0.659,0,0,68647,103,9816,.921541249085,0,0
Jefferson Park,241,32654,95,0.577,1,1,68647,35,16300, 1.4190200982,6.13497E-05,6.13497E-05
Hollywood Hills,98,69277,184,0.433,0,0,68647,197,3063,7.04764074288,0,0
East Compton,214,44439,191,0.416,0,1,68647,34,16542,.834359225737,0,6.04522E-05
